session,cycle,slot,label,arm,inner,status,launches,wall_s,launches_per_s,power_w,power_sd_w,samples,attempts,sample_failures,pre_idle_w,pre_idle_samples,delta_w,aiclk_mhz,temp_c,sysfs_aiclk_mean,sysfs_aiclk_min,sysfs_aiclk_max,sysfs_aiclk_drift_pct,sysfs_arcclk_mean,therm_trip_delta,clock_samples,power_bracket_w,bracket_lag_s,bracket_samples,tt_smi_version,note
20260817T192711,5,0,baseline,baseline,0,ok,0,40,0,17.0000,0.0000,55,55,0,17.0000,2,0.0000,500.0,40.8,500.0,500.0,500.0,0.000,540.0,,96,,,0,6.2.1,
20260817T192711,5,1,idle-0,idle,0,ok,86298,48.000133,1797.870,30.5278,0.5027,72,72,0,17.0000,2,13.5278,1000.0,41.6,1000.0,1000.0,1000.0,0.000,540.0,,130,,,0,6.2.1,
20260817T192711,5,2,rv-200000,rv,200000,ok,21886,48.002075,455.939,31.0000,0.1678,72,72,0,17.0000,2,14.0000,1000.0,42.3,1000.0,1000.0,1000.0,0.000,540.0,,130,,,0,6.2.1,
20260817T192711,5,3,noc-4096,noc,4096,ok,18923,48.001766,394.215,31.0972,0.2983,72,72,0,17.0000,2,14.0972,1000.0,42.5,1000.0,1000.0,1000.0,0.000,540.0,,130,,,0,6.2.1,
20260817T192711,5,4,mm-4096,mm,4096,ok,54793,48.000676,1141.505,32.0417,0.2012,72,72,0,17.0000,2,15.0417,1000.0,43.0,1000.0,1000.0,1000.0,0.000,540.0,,130,,,0,6.2.1,
20260817T192711,5,5,sfpu-4096,sfpu,4096,ok,34127,48.000906,710.966,31.2083,0.4090,72,72,0,17.0000,2,14.2083,1000.0,42.9,1000.0,1000.0,1000.0,0.000,540.0,,130,,,0,6.2.1,
20260817T192711,5,6,rv-800000,rv,800000,ok,6795,48.006171,141.544,31.0556,0.2307,72,72,0,17.5000,2,13.5556,1000.0,42.9,1000.0,1000.0,1000.0,0.000,540.0,,130,,,0,6.2.1,
20260817T192711,5,7,noc-16384,noc,16384,ok,5692,48.003579,118.574,31.2535,0.5269,71,71,0,17.0000,2,14.2535,1000.0,42.8,1000.0,1000.0,1000.0,0.000,540.0,,130,,,0,6.2.1,
20260817T192711,5,8,mm-16384,mm,16384,ok,27997,48.000918,583.260,33.2361,0.4277,72,72,0,17.0000,2,16.2361,1000.0,43.1,1000.0,1000.0,1000.0,0.000,540.0,,130,,,0,6.2.1,
20260817T192711,5,9,sfpu-16384,sfpu,16384,ok,12533,48.000512,261.101,31.5915,0.4950,71,71,0,17.5000,2,14.0915,1000.0,42.9,1000.0,1000.0,1000.0,0.000,540.0,,130,,,0,6.2.1,
20260817T192711,5,10,noc-4096__control,noc,4096,ok,18940,48.001659,394.570,31.1250,0.3330,72,72,0,17.0000,2,14.1250,1000.0,42.9,1000.0,1000.0,1000.0,0.000,540.0,,129,,,0,6.2.1,
