# nocreadbench arch=wormhole grid=8x8 num_tx=64 repeats=3
# every row is one timed burst; cycles_per_tx = cycles / num_tx
experiment,repeat,point,mst_x,mst_y,mst_node_x,mst_node_y,num_src,src0_x,src0_y,hops,num_tx,tx_bytes,dst_stride,src_stride,cycles,cycles_per_tx,outstanding_max,outstanding_end,samples,cmdbuf_avail_rest,cmdbuf_avail_busy,outstanding_rest,outstanding_delta,inflight_max,inflight_rest,trid,cmdbuf_avail_max,cmdbuf_ovfl_rest,cmdbuf_ovfl_end
dist,1,10,0,0,1,1,1,22,18,4,64,64,0,0,2992,46.750,3,3,64,0xFFFFFFFF,0xFFFFFFFF,0,3,2,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
dist,1,11,0,0,1,1,1,23,18,5,64,64,0,0,2995,46.797,3,3,64,0xFFFFFFFF,0xFFFFFFFF,0,3,2,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
dist,1,12,0,0,1,1,1,24,18,6,64,64,0,0,2992,46.750,3,3,64,0xFFFFFFFF,0xFFFFFFFF,0,3,2,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
dist,1,13,0,0,1,1,1,25,18,7,64,64,0,0,2995,46.797,3,3,64,0xFFFFFFFF,0xFFFFFFFF,0,3,2,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
dist,1,14,0,0,1,1,1,18,19,1,64,64,0,0,3019,47.172,3,3,64,0xFFFFFFFF,0xFFFFFFFF,0,3,3,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
dist,1,15,0,0,1,1,1,18,20,2,64,64,0,0,3021,47.203,3,3,64,0xFFFFFFFF,0xFFFFFFFF,0,3,3,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
dist,1,16,0,0,1,1,1,18,21,3,64,64,0,0,3019,47.172,3,3,64,0xFFFFFFFF,0xFFFFFFFF,0,3,3,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
dist,1,17,0,0,1,1,1,18,22,4,64,64,0,0,3020,47.188,3,3,64,0xFFFFFFFF,0xFFFFFFFF,0,3,3,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
dist,1,18,0,0,1,1,1,18,23,5,64,64,0,0,3019,47.172,3,3,64,0xFFFFFFFF,0xFFFFFFFF,0,3,3,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
dist,1,19,0,0,1,1,1,18,24,6,64,64,0,0,3018,47.156,3,3,64,0xFFFFFFFF,0xFFFFFFFF,0,3,3,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
dist,1,20,0,0,1,1,1,18,25,7,64,64,0,0,3021,47.203,3,3,64,0xFFFFFFFF,0xFFFFFFFF,0,3,3,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
srcfan,1,21,0,0,1,1,1,19,18,1,64,64,0,0,2997,46.828,3,3,64,0xFFFFFFFF,0xFFFFFFFF,0,3,2,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
srcfan,1,22,0,0,1,1,2,19,18,1,64,64,0,0,3000,46.875,3,3,64,0xFFFFFFFF,0xFFFFFFFF,0,3,2,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
srcfan,1,23,0,0,1,1,4,19,18,1,64,64,0,0,2999,46.859,3,3,64,0xFFFFFFFF,0xFFFFFFFF,0,3,2,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
dstspread,1,24,0,0,1,1,1,25,18,7,64,64,0,0,2998,46.844,3,3,64,0xFFFFFFFF,0xFFFFFFFF,0,3,2,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
dstspread,1,25,0,0,1,1,1,25,18,7,64,64,64,0,2994,46.781,3,3,64,0xFFFFFFFF,0xFFFFFFFF,0,3,2,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
dstspread,1,26,0,0,1,1,1,25,18,7,64,64,128,0,2996,46.812,3,3,64,0xFFFFFFFF,0xFFFFFFFF,0,3,2,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
dstspread,1,27,0,0,1,1,1,25,18,7,64,64,512,0,2994,46.781,3,3,64,0xFFFFFFFF,0xFFFFFFFF,0,3,2,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
srcspread,1,28,0,0,1,1,1,25,18,7,64,64,0,0,2993,46.766,3,3,64,0xFFFFFFFF,0xFFFFFFFF,0,3,2,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
srcspread,1,29,0,0,1,1,1,25,18,7,64,64,0,64,2993,46.766,3,3,64,0xFFFFFFFF,0xFFFFFFFF,0,3,2,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
srcspread,1,30,0,0,1,1,1,25,18,7,64,64,0,128,2997,46.828,3,3,64,0xFFFFFFFF,0xFFFFFFFF,0,3,2,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
srcspread,1,31,0,0,1,1,1,25,18,7,64,64,0,512,2993,46.766,3,3,64,0xFFFFFFFF,0xFFFFFFFF,0,3,2,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
burst,1,32,0,0,1,1,1,25,18,7,4,64,0,0,353,88.250,3,3,4,0xFFFFFFFF,0xFFFFFFFF,0,3,2,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
burst,1,33,0,0,1,1,1,25,18,7,16,64,0,0,880,55.000,3,3,16,0xFFFFFFFF,0xFFFFFFFF,0,3,2,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
burst,1,34,0,0,1,1,1,25,18,7,64,64,0,0,2996,46.812,3,3,64,0xFFFFFFFF,0xFFFFFFFF,0,3,2,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
burst,1,35,0,0,1,1,1,25,18,7,128,64,0,0,5808,45.375,3,3,128,0xFFFFFFFF,0xFFFFFFFF,0,3,2,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
size,2,0,0,0,1,1,1,25,18,7,64,64,0,0,2994,46.781,3,3,64,0xFFFFFFFF,0xFFFFFFFF,0,3,2,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
size,2,1,0,0,1,1,1,25,18,7,64,128,0,0,3002,46.906,3,3,64,0xFFFFFFFF,0xFFFFFFFF,0,3,2,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
size,2,2,0,0,1,1,1,25,18,7,64,256,0,0,3001,46.891,3,3,64,0xFFFFFFFF,0xFFFFFFFF,0,3,3,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
size,2,3,0,0,1,1,1,25,18,7,64,512,0,0,3016,47.125,3,3,64,0xFFFFFFFF,0xFFFFFFFF,0,3,3,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
