session,cycle,slot,label,arm,inner,status,start_s,end_s,launches,wall_s,launches_per_s,pre_file,pow_file,clk_file,post_file,tt_smi_version
20260813T134114,4,7,noc-16384,noc,16384,ok,1786627540.040304,1786627590.640765,6421,48.004190,133.759,raw/c4-s7-noc-16384.pre.csv,raw/c4-s7-noc-16384.pow.csv,raw/c4-s7-noc-16384.clk.csv,,6.2.0
20260813T134114,4,8,mm-16384,mm,16384,ok,1786627593.280914,1786627643.511714,22267,48.001312,463.883,raw/c4-s8-mm-16384.pre.csv,raw/c4-s8-mm-16384.pow.csv,raw/c4-s8-mm-16384.clk.csv,,6.2.0
20260813T134114,4,9,sfpu-16384,sfpu,16384,ok,1786627646.493186,1786627696.906480,12643,48.001745,263.386,raw/c4-s9-sfpu-16384.pre.csv,raw/c4-s9-sfpu-16384.pow.csv,raw/c4-s9-sfpu-16384.clk.csv,,6.2.0
20260813T134114,4,10,noc-4096__control,noc,4096,ok,1786627699.560288,1786627750.108799,16422,48.000516,342.121,raw/c4-s10-noc-4096__control.pre.csv,raw/c4-s10-noc-4096__control.pow.csv,raw/c4-s10-noc-4096__control.clk.csv,,6.2.0
20260813T134114,5,0,baseline,baseline,0,ok,1786627752.692047,1786627792.727246,0,40,0,raw/c5-s0-baseline.pre.csv,raw/c5-s0-baseline.pow.csv,raw/c5-s0-baseline.clk.csv,,6.2.0
20260813T134114,5,1,idle-0,idle,0,ok,1786627795.327625,1786627845.822993,34572,48.000360,720.245,raw/c5-s1-idle-0.pre.csv,raw/c5-s1-idle-0.pow.csv,raw/c5-s1-idle-0.clk.csv,,6.2.0
20260813T134114,5,2,rv-200000,rv,200000,ok,1786627849.231836,1786627899.611112,19560,48.000454,407.496,raw/c5-s2-rv-200000.pre.csv,raw/c5-s2-rv-200000.pow.csv,raw/c5-s2-rv-200000.clk.csv,,6.2.0
20260813T134114,5,3,noc-4096,noc,4096,ok,1786627902.543338,1786627953.030108,16455,48.002812,342.792,raw/c5-s3-noc-4096.pre.csv,raw/c5-s3-noc-4096.pow.csv,raw/c5-s3-noc-4096.clk.csv,,6.2.0
20260813T134114,5,4,mm-4096,mm,4096,ok,1786627956.194372,1786628006.747586,29486,48.001369,614.274,raw/c5-s4-mm-4096.pre.csv,raw/c5-s4-mm-4096.pow.csv,raw/c5-s4-mm-4096.clk.csv,,6.2.0
20260813T134114,5,5,sfpu-4096,sfpu,4096,ok,1786628009.538137,1786628060.046050,23838,48.001399,496.611,raw/c5-s5-sfpu-4096.pre.csv,raw/c5-s5-sfpu-4096.pow.csv,raw/c5-s5-sfpu-4096.clk.csv,,6.2.0
20260813T134114,5,6,rv-800000,rv,800000,ok,1786628062.617633,1786628113.042253,8618,48.000572,179.540,raw/c5-s6-rv-800000.pre.csv,raw/c5-s6-rv-800000.pow.csv,raw/c5-s6-rv-800000.clk.csv,,6.2.0
20260813T134114,5,7,noc-16384,noc,16384,ok,1786628115.751698,1786628166.237034,6416,48.003071,133.658,raw/c5-s7-noc-16384.pre.csv,raw/c5-s7-noc-16384.pow.csv,raw/c5-s7-noc-16384.clk.csv,,6.2.0
20260813T134114,5,8,mm-16384,mm,16384,ok,1786628169.386890,1786628219.853152,21402,48.000140,445.874,raw/c5-s8-mm-16384.pre.csv,raw/c5-s8-mm-16384.pow.csv,raw/c5-s8-mm-16384.clk.csv,,6.2.0
20260813T134114,5,9,sfpu-16384,sfpu,16384,ok,1786628222.283526,1786628272.647130,12664,48.002058,263.822,raw/c5-s9-sfpu-16384.pre.csv,raw/c5-s9-sfpu-16384.pow.csv,raw/c5-s9-sfpu-16384.clk.csv,,6.2.0
20260813T134114,5,10,noc-4096__control,noc,4096,ok,1786628275.625605,1786628326.050361,16447,48.000135,342.645,raw/c5-s10-noc-4096__control.pre.csv,raw/c5-s10-noc-4096__control.pow.csv,raw/c5-s10-noc-4096__control.clk.csv,,6.2.0
