# nocreadbench arch=wormhole grid=8x8 num_tx=64 repeats=3 mode=stateful sim=0
# every row is one timed burst; cycles_per_tx = cycles / num_tx
# mode is what the KERNEL stamped; probe_word says which tile answered a
# transaction issued with the state pointed elsewhere, so it is stateless
# iff probe_word == sig_src and stateful iff probe_word == sig_witness
experiment,repeat,point,mst_x,mst_y,mst_node_x,mst_node_y,num_src,src0_x,src0_y,hops,num_tx,tx_bytes,dst_stride,src_stride,cycles,cycles_per_tx,outstanding_max,outstanding_end,samples,cmdbuf_avail_rest,cmdbuf_avail_busy,outstanding_rest,outstanding_delta,inflight_max,inflight_rest,trid,cmdbuf_avail_max,cmdbuf_ovfl_rest,cmdbuf_ovfl_end,mode,probe_word,sig_src,sig_witness
burst,0,32,0,0,1,1,1,25,18,7,64,64,0,0,2028,31.688,4,4,64,0xFFFFFFFF,0xFFFFFFFF,0,4,3,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A1313,0x5A5A1912,0x5A5A1313
burst,0,33,0,0,1,1,1,25,18,7,128,64,0,0,3881,30.320,4,4,128,0xFFFFFFFF,0xFFFFFFFF,0,4,3,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A1313,0x5A5A1912,0x5A5A1313
size,1,0,0,0,1,1,1,25,18,7,64,64,0,0,2026,31.656,4,4,64,0xFFFFFFFF,0xFFFFFFFF,0,4,3,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A1313,0x5A5A1912,0x5A5A1313
size,1,1,0,0,1,1,1,25,18,7,64,128,0,0,2027,31.672,4,4,64,0xFFFFFFFF,0xFFFFFFFF,0,4,3,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A1313,0x5A5A1912,0x5A5A1313
size,1,2,0,0,1,1,1,25,18,7,64,256,0,0,2033,31.766,4,4,64,0xFFFFFFFF,0xFFFFFFFF,0,4,4,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A1313,0x5A5A1912,0x5A5A1313
size,1,3,0,0,1,1,1,25,18,7,64,512,0,0,2043,31.922,4,4,64,0xFFFFFFFF,0xFFFFFFFF,0,4,4,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A1313,0x5A5A1912,0x5A5A1313
size,1,4,0,0,1,1,1,25,18,7,64,1024,0,0,2378,37.156,4,4,64,0xFFFFFFFF,0xFFFFFFFF,0,4,4,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A1313,0x5A5A1912,0x5A5A1313
size,1,5,0,0,1,1,1,25,18,7,64,2048,0,0,4488,70.125,29,29,64,0xFFFFFFFF,0xFFFFFFFF,0,29,27,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A1313,0x5A5A1912,0x5A5A1313
size,1,6,0,0,1,1,1,25,18,7,64,4096,0,0,8712,136.125,46,46,64,0xFFFFFFFF,0xFFFFFFFF,0,46,45,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A1313,0x5A5A1912,0x5A5A1313
dist,1,7,0,0,1,1,1,19,18,1,64,64,0,0,2025,31.641,4,4,64,0xFFFFFFFF,0xFFFFFFFF,0,4,3,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A1313,0x5A5A1312,0x5A5A1313
dist,1,8,0,0,1,1,1,20,18,2,64,64,0,0,2025,31.641,4,4,64,0xFFFFFFFF,0xFFFFFFFF,0,4,3,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A1313,0x5A5A1412,0x5A5A1313
dist,1,9,0,0,1,1,1,21,18,3,64,64,0,0,2024,31.625,4,4,64,0xFFFFFFFF,0xFFFFFFFF,0,4,3,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A1313,0x5A5A1512,0x5A5A1313
dist,1,10,0,0,1,1,1,22,18,4,64,64,0,0,2024,31.625,4,4,64,0xFFFFFFFF,0xFFFFFFFF,0,4,3,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A1313,0x5A5A1612,0x5A5A1313
dist,1,11,0,0,1,1,1,23,18,5,64,64,0,0,2026,31.656,4,4,64,0xFFFFFFFF,0xFFFFFFFF,0,4,3,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A1313,0x5A5A1712,0x5A5A1313
dist,1,12,0,0,1,1,1,24,18,6,64,64,0,0,2025,31.641,4,4,64,0xFFFFFFFF,0xFFFFFFFF,0,4,3,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A1313,0x5A5A1812,0x5A5A1313
dist,1,13,0,0,1,1,1,25,18,7,64,64,0,0,2027,31.672,4,4,64,0xFFFFFFFF,0xFFFFFFFF,0,4,3,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A1313,0x5A5A1912,0x5A5A1313
dist,1,14,0,0,1,1,1,18,19,1,64,64,0,0,2051,32.047,4,4,64,0xFFFFFFFF,0xFFFFFFFF,0,4,4,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A1313,0x5A5A1213,0x5A5A1313
dist,1,15,0,0,1,1,1,18,20,2,64,64,0,0,2040,31.875,4,4,64,0xFFFFFFFF,0xFFFFFFFF,0,4,4,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A1313,0x5A5A1214,0x5A5A1313
dist,1,16,0,0,1,1,1,18,21,3,64,64,0,0,2046,31.969,4,4,64,0xFFFFFFFF,0xFFFFFFFF,0,4,4,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A1313,0x5A5A1215,0x5A5A1313
dist,1,17,0,0,1,1,1,18,22,4,64,64,0,0,2048,32.000,4,4,64,0xFFFFFFFF,0xFFFFFFFF,0,4,4,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A1313,0x5A5A1216,0x5A5A1313
dist,1,18,0,0,1,1,1,18,23,5,64,64,0,0,2042,31.906,4,4,64,0xFFFFFFFF,0xFFFFFFFF,0,4,4,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A1313,0x5A5A1217,0x5A5A1313
dist,1,19,0,0,1,1,1,18,24,6,64,64,0,0,2045,31.953,4,4,64,0xFFFFFFFF,0xFFFFFFFF,0,4,4,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A1313,0x5A5A1218,0x5A5A1313
dist,1,20,0,0,1,1,1,18,25,7,64,64,0,0,2044,31.938,4,4,64,0xFFFFFFFF,0xFFFFFFFF,0,4,4,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A1313,0x5A5A1219,0x5A5A1313
srcfan,1,21,0,0,1,1,1,19,18,1,64,64,0,0,2025,31.641,4,4,64,0xFFFFFFFF,0xFFFFFFFF,0,4,3,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A1313,0x5A5A1312,0x5A5A1313
dstspread,1,22,0,0,1,1,1,25,18,7,64,64,0,0,2026,31.656,4,4,64,0xFFFFFFFF,0xFFFFFFFF,0,4,3,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A1313,0x5A5A1912,0x5A5A1313
dstspread,1,23,0,0,1,1,1,25,18,7,64,64,64,0,2027,31.672,4,4,64,0xFFFFFFFF,0xFFFFFFFF,0,4,3,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A1313,0x5A5A1912,0x5A5A1313
dstspread,1,24,0,0,1,1,1,25,18,7,64,64,128,0,2024,31.625,4,4,64,0xFFFFFFFF,0xFFFFFFFF,0,4,3,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A1313,0x5A5A1912,0x5A5A1313
dstspread,1,25,0,0,1,1,1,25,18,7,64,64,512,0,2027,31.672,4,4,64,0xFFFFFFFF,0xFFFFFFFF,0,4,3,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A1313,0x5A5A1912,0x5A5A1313
srcspread,1,26,0,0,1,1,1,25,18,7,64,64,0,0,2024,31.625,4,4,64,0xFFFFFFFF,0xFFFFFFFF,0,4,3,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A1313,0x5A5A1912,0x5A5A1313
srcspread,1,27,0,0,1,1,1,25,18,7,64,64,0,64,2026,31.656,4,4,64,0xFFFFFFFF,0xFFFFFFFF,0,4,3,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A1313,0x5A5A1912,0x5A5A1313
srcspread,1,28,0,0,1,1,1,25,18,7,64,64,0,128,2024,31.625,4,4,64,0xFFFFFFFF,0xFFFFFFFF,0,4,3,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A1313,0x5A5A1912,0x5A5A1313
srcspread,1,29,0,0,1,1,1,25,18,7,64,64,0,512,2024,31.625,4,4,64,0xFFFFFFFF,0xFFFFFFFF,0,4,3,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A1313,0x5A5A1912,0x5A5A1313
burst,1,30,0,0,1,1,1,25,18,7,4,64,0,0,285,71.250,3,3,4,0xFFFFFFFF,0xFFFFFFFF,0,3,3,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A1313,0x5A5A1912,0x5A5A1313
burst,1,31,0,0,1,1,1,25,18,7,16,64,0,0,633,39.562,4,4,16,0xFFFFFFFF,0xFFFFFFFF,0,4,3,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A1313,0x5A5A1912,0x5A5A1313
burst,1,32,0,0,1,1,1,25,18,7,64,64,0,0,2025,31.641,4,4,64,0xFFFFFFFF,0xFFFFFFFF,0,4,3,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A1313,0x5A5A1912,0x5A5A1313
burst,1,33,0,0,1,1,1,25,18,7,128,64,0,0,3880,30.312,4,4,128,0xFFFFFFFF,0xFFFFFFFF,0,4,3,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A1313,0x5A5A1912,0x5A5A1313
size,2,0,0,0,1,1,1,25,18,7,64,64,0,0,2024,31.625,4,4,64,0xFFFFFFFF,0xFFFFFFFF,0,4,3,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A1313,0x5A5A1912,0x5A5A1313
size,2,1,0,0,1,1,1,25,18,7,64,128,0,0,2026,31.656,4,4,64,0xFFFFFFFF,0xFFFFFFFF,0,4,3,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A1313,0x5A5A1912,0x5A5A1313
size,2,2,0,0,1,1,1,25,18,7,64,256,0,0,2032,31.750,4,4,64,0xFFFFFFFF,0xFFFFFFFF,0,4,4,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A1313,0x5A5A1912,0x5A5A1313
size,2,3,0,0,1,1,1,25,18,7,64,512,0,0,2043,31.922,4,4,64,0xFFFFFFFF,0xFFFFFFFF,0,4,4,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A1313,0x5A5A1912,0x5A5A1313
size,2,4,0,0,1,1,1,25,18,7,64,1024,0,0,2392,37.375,4,4,64,0xFFFFFFFF,0xFFFFFFFF,0,4,4,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A1313,0x5A5A1912,0x5A5A1313
size,2,5,0,0,1,1,1,25,18,7,64,2048,0,0,4499,70.297,29,29,64,0xFFFFFFFF,0xFFFFFFFF,0,29,26,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A1313,0x5A5A1912,0x5A5A1313
size,2,6,0,0,1,1,1,25,18,7,64,4096,0,0,8697,135.891,46,46,64,0xFFFFFFFF,0xFFFFFFFF,0,46,45,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A1313,0x5A5A1912,0x5A5A1313
dist,2,7,0,0,1,1,1,19,18,1,64,64,0,0,2026,31.656,4,4,64,0xFFFFFFFF,0xFFFFFFFF,0,4,3,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A1313,0x5A5A1312,0x5A5A1313
dist,2,8,0,0,1,1,1,20,18,2,64,64,0,0,2025,31.641,4,4,64,0xFFFFFFFF,0xFFFFFFFF,0,4,3,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A1313,0x5A5A1412,0x5A5A1313
dist,2,9,0,0,1,1,1,21,18,3,64,64,0,0,2024,31.625,4,4,64,0xFFFFFFFF,0xFFFFFFFF,0,4,3,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A1313,0x5A5A1512,0x5A5A1313
