# nocreadbench arch=blackhole grid=12x10 num_tx=64 repeats=3 mode=stateless sim=0
# every row is one timed burst; cycles_per_tx = cycles / num_tx
# mode is what the KERNEL stamped; probe_word says which tile answered a
# transaction issued with the state pointed elsewhere, so it is stateless
# iff probe_word == sig_src and stateful iff probe_word == sig_witness
experiment,repeat,point,mst_x,mst_y,mst_node_x,mst_node_y,num_src,src0_x,src0_y,hops,num_tx,tx_bytes,dst_stride,src_stride,cycles,cycles_per_tx,outstanding_max,outstanding_end,samples,cmdbuf_avail_rest,cmdbuf_avail_busy,outstanding_rest,outstanding_delta,inflight_max,inflight_rest,trid,cmdbuf_avail_max,cmdbuf_ovfl_rest,cmdbuf_ovfl_end,mode,probe_word,sig_src,sig_witness
srcspread,0,35,0,0,1,2,1,14,2,13,64,64,0,0,3240,50.625,194,194,64,0x00000000,0x00000000,192,2,3,0,0,0x00000000,0x00000000,0x00000000,stateless,0x5A5A0E02,0x5A5A0E02,0x5A5A0203
srcspread,0,36,0,0,1,2,1,14,2,13,64,64,0,64,3240,50.625,194,194,64,0x00000000,0x00000000,192,2,3,0,0,0x00000000,0x00000000,0x00000000,stateless,0x5A5A0E02,0x5A5A0E02,0x5A5A0203
srcspread,0,37,0,0,1,2,1,14,2,13,64,64,0,128,3241,50.641,194,194,64,0x00000000,0x00000000,192,2,3,0,0,0x00000000,0x00000000,0x00000000,stateless,0x5A5A0E02,0x5A5A0E02,0x5A5A0203
srcspread,0,38,0,0,1,2,1,14,2,13,64,64,0,512,3241,50.641,194,194,64,0x00000000,0x00000000,192,2,3,0,0,0x00000000,0x00000000,0x00000000,stateless,0x5A5A0E02,0x5A5A0E02,0x5A5A0203
burst,0,39,0,0,1,2,1,14,2,13,4,64,0,0,420,105.000,194,194,4,0x00000000,0x00000000,192,2,3,0,0,0x00000000,0x00000000,0x00000000,stateless,0x5A5A0E02,0x5A5A0E02,0x5A5A0203
burst,0,40,0,0,1,2,1,14,2,13,16,64,0,0,984,61.500,194,194,16,0x00000000,0x00000000,192,2,3,0,0,0x00000000,0x00000000,0x00000000,stateless,0x5A5A0E02,0x5A5A0E02,0x5A5A0203
burst,0,41,0,0,1,2,1,14,2,13,64,64,0,0,3240,50.625,194,194,64,0x00000000,0x00000000,192,2,3,0,0,0x00000000,0x00000000,0x00000000,stateless,0x5A5A0E02,0x5A5A0E02,0x5A5A0203
burst,0,42,0,0,1,2,1,14,2,13,128,64,0,0,6248,48.812,194,194,128,0x00000000,0x00000000,192,2,3,0,0,0x00000000,0x00000000,0x00000000,stateless,0x5A5A0E02,0x5A5A0E02,0x5A5A0203
size,1,0,0,0,1,2,1,14,2,13,64,64,0,0,3240,50.625,194,194,64,0x00000000,0x00000000,192,2,3,0,0,0x00000000,0x00000000,0x00000000,stateless,0x5A5A0E02,0x5A5A0E02,0x5A5A0203
size,1,1,0,0,1,2,1,14,2,13,64,128,0,0,3240,50.625,194,194,64,0x00000000,0x00000000,192,2,3,0,0,0x00000000,0x00000000,0x00000000,stateless,0x5A5A0E02,0x5A5A0E02,0x5A5A0203
